Model,Accuracy,Precision,Recall,F1,AUC
Tuned Random Forest,0.9108197782633325,0.5776231263383298,0.7751436781609196,0.661963190184049,0.9486060663238831
Tuned XGBoost,0.8823338998138707,0.48761980830670926,0.8771551724137931,0.6267967145790554,0.946983675854731
